division_name,district_name,depot_code,length_to2,veh_total,veh_truck,avg_iri,length_ac,lanemin_ac,lanemax_ac,laneavg_ac,pavewidthavg_ac,shoulderwidthavg_ac,length_cc,lanemin_cc,lanemax_cc,laneavg_cc,pavewidthavg_cc,shoulderwidthavg_cc,bicyclelane_sqm,rest_area_sqm,sidewalk_sqm,retainingwall_sqm,roadmarking_sqm,road_medians_m,elevation_mean,elevation_var,slope_mean,slope_var,ค่าบำรุงตามระยะทางต่อ 2 ช่องจราจร,ค่าบำรุงทรัพย์สิน,จำนวนจุดกางเต็นท์,ค่าบำรุงจุดกางเต็นท์,จำนวนจุดพักรถ,ค่าบำรุงจุดพักรถ,จำนวนภูมิสถาปัตย์,ค่าบำรุงภูมิสถาปัตย์,พื้นที่ฝนชุก,sum_งบแผน68,bridge_m
สำนักงานทางหลวงที่ 10 (นครราชสีมา),ขท.ปราจีนบุรี,618,880.744,2193563902,160530006,2.689875,461.631,1,8,4.5,3.5,5.0,101.775,4.0,8.0,5.25,3.5,4.984375,0.0,0.0,55906.66752,3222.2,116010.60949999999,155027.0,11.242134665429955,1257.8715416764617,0.19059021182712052,7.267476802072468,52844640.0,4089100,0,0,2,600000,4,1200000,2,15085067.1,8958.1
สำนักงานทางหลวงที่ 10 (นครราชสีมา),ขท.สระแก้ว (วัฒนานคร),619,1041.948,1552894567,343346638,2.276666666666667,418.493,2,8,3.4444444444444446,3.5,5.0,1.498,4.0,4.0,4.0,,,0.0,0.0,49508.05,14279.0,85722.0,41793.0,10.034872052220864,233.8790049508221,0.07287869544176252,9.99828380156047,62516880.00000001,3479300,0,0,1,300000,1,300000,0,12149336.0,3963.0
สำนักงานทางหลวงที่ 7 (ขอนแก่น),ขท.ขอนแก่นที่ 1,621,640.132,1996857227,189855760,2.928714285714286,316.356,2,7,3.9166666666666665,3.5,5.0,162.826,4.0,12.0,6.375,3.5,4.2236666666666665,0.0,0.0,138015.2508,40127.3,78775.32,353774.0,173.18398016954384,93.24701856250022,0.03335999361114423,8.132759933124149,38407920.0,3194100,0,0,0,0,0,0,0,31239469.1,9383.8
สำนักงานทางหลวงที่ 8 (มหาสารคาม),ขท.มหาสารคาม,622,913.526,2639957062,277969673,2.3890833333333332,504.297,2,6,4.083333333333333,3.5,5.272,7.307,4.0,6.0,4.166666666666667,3.5,4.8,0.0,0.0,153733.08000000002,15777.0,97707.53,77577.617,157.56239096853778,64.59618897252172,-0.04323917683080177,6.181314992728548,54811560.0,4223600,1,300000,2,600000,1,300000,0,36501247.04,4266.5
สำนักงานทางหลวงที่ 7 (ขอนแก่น),ขท.อุดรธานีที่ 1,623,709.951,2572797135,119571689,2.704857142857143,403.001,1,10,3.9285714285714284,3.5,4.0,178.842,4.0,10.0,6.142857142857143,3.5,3.8333333333333335,0.0,0.0,450171.4800000001,19331.100000000002,89455.74200000001,81681.0,198.96714305053007,499.65025521419795,0.11807085096923274,13.019372597765392,42597060.0,3063100,0,0,0,0,0,0,0,22397913.0,4415.2
สำนักงานทางหลวงที่ 7 (ขอนแก่น),ขท.อุดรธานีที่ 2 (หนองหาน),624,679.353,2747517393,521252629,2.528842105263158,475.677,2,4,2.8333333333333335,3.5,4.376,9.46,2.0,4.0,3.3333333333333335,3.5,2.6666666666666665,0.0,0.0,62138.48,250.0,86341.786,32459.862999999998,184.21962551014906,138.08456582970635,-0.06207002683696473,8.226378224410153,40761180.0,2004400,0,0,2,600000,1,300000,0,34308861.0,4975.4
สำนักงานทางหลวงที่ 7 (ขอนแก่น),ขท.ชัยภูมิ,626,830.043,3092802372,952655863,2.708285714285714,487.743,2,6,3.3076923076923075,3.5,5.0,11.236,4.0,6.0,4.8,3.5,4.75,0.0,0.0,123371.641,20027.3,340076.89600000007,103524.853,283.3697069715235,2813.7195345376535,-0.03372134917150198,25.98220605400535,49802580.0,3529700,0,0,0,0,0,0,0,115835052.0,6942.8
สำนักงานทางหลวงที่ 7 (ขอนแก่น),ขท.ขอนแก่นที่ 2 (ชุมแพ),627,687.246,1524982665,514534910,2.8774444444444445,433.463,2,10,4.625,3.5,5.18,17.641000000000002,4.0,8.0,5.166666666666667,3.5,4.8536,0.0,0.0,197092.86,3574.1,85664.59249999998,49189.0,225.27785798079816,336.82463638865806,0.11567536799393599,17.47760380924783,41234760.0,3520800,1,300000,3,900000,0,0,0,48262457.54,5068.0
สำนักงานทางหลวงที่ 7 (ขอนแก่น),ขท.ขอนแก่นที่ 3 (บ้านไผ่),628,645.69,1009229075,1743129319,2.3853999999999997,427.977,1,6,3.4,3.5,5.0,1.14,4.0,4.0,4.0,3.5,5.0,0.0,0.0,37196.051,273.0,62430.588,46634.79,177.93828404890252,98.30063258469947,-0.012873886160789109,5.3715956959215685,38741400.0,2362900,3,900000,2,600000,0,0,0,20132405.36,5280.0
สำนักงานทางหลวงที่ 6 (เพชรบูรณ์),ขท.หนองบัวลำภู,629,534.087,1994726698,1513578325,2.450375,248.681,1,6,3.25,7.0,5.0,80.885,1.0,6.0,4.166666666666667,4.2,3.15,12025.0,0.0,119956.363,6297.0,75946.138,116596.371,219.83077400575007,203.19750932279828,0.07974925873552824,12.668689992606927,32045220.0,2558700,0,0,0,0,0,0,0,23887668.25,2332.5
